,nome,date,open,high,low,close,adjclose,volume,nextmin,nextnextmax,nextminislower
0,SMLS3.csv,2020-11-03,14.830000,14.940000,13.870000,14.120000,14.120000,2804100,13.810000,14.950000,True
1,SMLS3.csv,2020-11-04,14.200000,14.420000,13.810000,14.200000,14.200000,1777300,14.210000,15.280000,False
2,SMLS3.csv,2020-11-05,14.340000,14.950000,14.210000,14.890000,14.890000,2253000,14.430000,16.860001,False
3,SMLS3.csv,2020-11-06,14.730000,15.280000,14.430000,15.120000,15.120000,1650000,16.309999,17.150000,False
4,SMLS3.csv,2020-11-09,16.680000,16.860001,16.309999,16.629999,16.629999,3722100,16.330000,17.280001,False
5,SMLS3.csv,2020-11-10,16.580000,17.150000,16.330000,16.959999,16.959999,1808600,16.480000,17.059999,False
6,SMLS3.csv,2020-11-11,16.690001,17.280001,16.480000,16.950001,16.950001,1867600,15.670000,16.790001,True
7,SMLS3.csv,2020-11-12,16.950001,17.059999,15.670000,16.129999,16.129999,2489900,15.980000,17.320000,False
8,SMLS3.csv,2020-11-13,16.129999,16.790001,15.980000,16.580000,16.580000,1020800,16.400000,17.959999,False
9,SMLS3.csv,2020-11-16,16.990000,17.320000,16.400000,17.200001,17.200001,2033100,17.010000,19.070000,False
10,SMLS3.csv,2020-11-17,17.010000,17.959999,17.010000,17.790001,17.790001,2862400,18.260000,18.969999,False
11,SMLS3.csv,2020-11-18,18.549999,19.070000,18.260000,18.450001,18.450001,3614800,17.940001,19.600000,True
12,SMLS3.csv,2020-11-19,18.400000,18.969999,17.940001,18.820000,18.820000,2149600,18.959999,19.799999,False
13,SMLS3.csv,2020-11-23,19.309999,19.600000,18.959999,19.400000,19.400000,1832500,18.900000,,True
14,SMLS3.csv,2020-11-24,19.510000,19.799999,18.900000,19.680000,19.680000,1385300,,,
15,AZUL4.csv,2020-11-03,23.200001,23.530001,22.270000,22.490000,22.490000,10342100,22.420000,25.600000,False
16,AZUL4.csv,2020-11-04,22.950001,23.610001,22.420000,23.379999,23.379999,10328800,23.809999,26.070000,False
17,AZUL4.csv,2020-11-05,24.000000,25.600000,23.809999,25.600000,25.600000,13186700,24.559999,31.040001,False
18,AZUL4.csv,2020-11-06,24.990000,26.070000,24.559999,25.889999,25.889999,9865500,28.500000,31.900000,False
19,AZUL4.csv,2020-11-09,29.510000,31.040001,28.500000,30.709999,30.709999,47545200,29.760000,30.780001,False
20,AZUL4.csv,2020-11-10,30.049999,31.900000,29.760000,30.290001,30.290001,21400000,28.700001,29.790001,True
21,AZUL4.csv,2020-11-11,30.110001,30.780001,28.700001,29.799999,29.799999,15764600,27.820000,29.090000,True
22,AZUL4.csv,2020-11-12,29.480000,29.790001,27.820000,27.900000,27.900000,16411500,27.830000,32.830002,False
23,AZUL4.csv,2020-11-13,28.230000,29.090000,27.830000,28.559999,28.559999,9138000,29.820000,33.330002,False
24,AZUL4.csv,2020-11-16,30.389999,32.830002,29.820000,32.150002,32.150002,30341300,31.010000,35.590000,False
25,AZUL4.csv,2020-11-17,31.639999,33.330002,31.010000,32.849998,32.849998,20170200,33.330002,35.759998,False
26,AZUL4.csv,2020-11-18,33.520000,35.590000,33.330002,34.299999,34.299999,32359600,33.259998,36.590000,True
27,AZUL4.csv,2020-11-19,34.299999,35.759998,33.259998,35.680000,35.680000,19031300,35.369999,36.430000,False
28,AZUL4.csv,2020-11-23,35.910000,36.590000,35.369999,35.619999,35.619999,13316800,35.459999,,False
29,AZUL4.csv,2020-11-24,36.200001,36.430000,35.459999,35.889999,35.889999,11002600,,,
30,GOLL4.csv,2020-11-03,16.469999,16.520000,15.380000,15.620000,15.620000,10657500,15.350000,17.540001,True
31,GOLL4.csv,2020-11-04,15.820000,16.170000,15.350000,15.870000,15.870000,11685900,15.940000,17.750000,False
32,GOLL4.csv,2020-11-05,16.250000,17.540001,15.940000,17.440001,17.440001,16168600,16.600000,21.430000,False
33,GOLL4.csv,2020-11-06,17.120001,17.750000,16.600000,17.650000,17.650000,11683000,19.549999,22.120001,False
34,GOLL4.csv,2020-11-09,20.100000,21.430000,19.549999,21.049999,21.049999,43680500,20.450001,21.190001,False
